Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;Localita;forma_vendita_edicole;vendita_esclusiva;MUNICIPIO;LONGIT;LATIT;Location
C-ED/356;VIA MORGANTINI MARIO N. 15 ang. via amundsen| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;VIA MORGANTINI MARIO;15;6568;ang. Via Amundsen|;edicola su suolo pubblico;Si;7;9.13411754707;45.4697367069;45.4697367069, 9.13411754707
C-ED/357;Piazza CINCINNATO num.000 ang. via settembrini| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Piazza CINCINNATO;;2125;NUM.000 ang. via settembrini|;edicola su suolo pubblico;Si;;;;
C-ED/358;PIAZZALE BRESCIA ang. faruffini (z.d. 7);AREE PUBBLICHE - Giornali e riviste;PIAZZALE BRESCIA;;6554;ang. Faruffini;edicola su suolo pubblico;Si;;;;
C-ED/359;Via BOCCONI FERDINANDO ang. viale bligny| (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via BOCCONI FERDINANDO;;4050;ang. viale bligny|;edicola su suolo pubblico;Si;;;;
C-ED/360;Via SARDEGNA N. 22 angolo via gentili| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via SARDEGNA;22;6265;angolo via gentili|;edicola su suolo pubblico;Si;7;9.15226371101;45.4637153975;45.4637153975, 9.15226371101
C-ED/363;Via SANZIO RAFFAELLO N. 36 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via SANZIO RAFFAELLO;36;6283;;edicola su suolo pubblico;Si;7;9.15028902937;45.4672209232;45.4672209232, 9.15028902937
C-ED/367;Piazza MIRABELLO CARLO N. 5 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Piazza MIRABELLO CARLO;5;1038;;edicola su suolo pubblico;Si;1;9.19027109368;45.475175877;45.475175877, 9.19027109368
C-ED/368;Piazza DUCA D'AOSTA N. 10 lato vitruvio (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Piazza DUCA D'AOSTA;10;1200;lato vitruvio;edicola su suolo pubblico;Si;2;9.20445091013;45.4837994459;45.4837994459, 9.20445091013
C-ED/371;Via GIOVANNI SUL MURO (SAN) fr.civ. 9 ang. via puccini (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via GIOVANNI SUL MURO (SAN);;609;fr.civ. 9 ang. via Puccini;edicola su suolo pubblico;Si;;;;
C-ED/373;VIALE LUNIGIANA N. 3 ang. via ponte seveso (z.d. 2);AREE PUBBLICHE - Giornali e riviste;VIALE LUNIGIANA;3;1214;ang. Via Ponte Seveso;edicola su suolo pubblico;Si;2;9.20632466525;45.4905981044;45.4905981044, 9.20632466525
C-ED/374;Via PATTI ADELINA civ. 5c01 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via PATTI ADELINA;;1279;CIV. 5C01;edicola su suolo pubblico;Si;;;;
C-ED/2197;LARGO ASCARI ang. v.le cassala 48 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;LARGO ASCARI;;5463;ang. V.le Cassala 48;edicola su suolo pubblico;Si;;;;
C-ED/2198;VIA MARCONI GUGLIELMO angolo piazza diaz| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;VIA MARCONI GUGLIELMO;;340;angolo piazza diaz|;edicola su suolo pubblico;Si;;;;
C-ED/2218;VIA MARGHERA N. 28 interno mondadori multicenter| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;VIA MARGHERA;28;6280;interno mondadori multicenter|;rivendita in negozio;Si;7;9.15153625786;45.4667592103;45.4667592103, 9.15153625786
C-ED/2224;Via VAL DI LEDRO N. 11 (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via VAL DI LEDRO;11;1532;;rivendita in negozio;Si;9;9.18868862761;45.515769547;45.515769547, 9.18868862761
C-ED/2230;Via FIAMMA GALVANO N. 20 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via FIAMMA GALVANO;20;3079;;rivendita in negozio;Si;4;9.21145057997;45.4647303215;45.4647303215, 9.21145057997
C-ED/2231;Piazza OSPEDALE MAGGIORE N. 3 int. ospedale niguarda| (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Piazza OSPEDALE MAGGIORE;3;1523;int. ospedale niguarda|;rivendita in ospedale;Si;9;9.18869470033;45.509231827;45.509231827, 9.18869470033
C-ED/492;Piazza FORTUNATO GIUSTINO fr. civ. 7 lato via galeazzi| (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Piazza FORTUNATO GIUSTINO;;1576;FR. CIV. 7 lato via galeazzi|;edicola su suolo pubblico;Si;;;;
C-ED/493;Via BERGOGNONE AMBROGIO DA FOSSANO N. 31 angolo via voghera| (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via BERGOGNONE AMBROGIO DA FOSSANO;31;5130;angolo via voghera|;edicola su suolo pubblico;Si;6;9.16388619042;45.4539823619;45.4539823619, 9.16388619042
C-ED/495;VIA RIPAMONTI GIUSEPPE N. 2 (z.d. 5);AREE PUBBLICHE - Giornali e riviste;VIA RIPAMONTI GIUSEPPE;2;4066;;edicola su suolo pubblico;Si;5;9.19639878315;45.4514908925;45.4514908925, 9.19639878315
C-ED/497;VIA CIMAROSA DOMENICO N. 1 angolo corso vercelli| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;VIA CIMAROSA DOMENICO;1;6291;angolo corso vercelli|;edicola su suolo pubblico;Si;7;9.15913932554;45.4662197855;45.4662197855, 9.15913932554
C-ED/498;VIA FORZE ARMATE (DELLE) angolo via nikolajevka| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;VIA FORZE ARMATE (DELLE);;6643;angolo via nikolajevka|;edicola su suolo pubblico;Si;;;;
C-ED/500;Via PACINI GIOVANNI N. 26 angolo ampere| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Via PACINI GIOVANNI;26;2571;angolo ampere|;edicola su suolo pubblico;Si;3;9.22906135141;45.4819006532;45.4819006532, 9.22906135141
C-ED/501;Via SANZIO RAFFAELLO N. 7 angolo via san siro| (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via SANZIO RAFFAELLO;7;6283;angolo via san siro|;edicola su suolo pubblico;Si;7;9.1539610138;45.469203413;45.469203413, 9.1539610138
C-ED/502;Via FOPPA VINCENZO N. 37 (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Via FOPPA VINCENZO;37;6109;;edicola su suolo pubblico;Si;6;9.15829328574;45.4568224556;45.4568224556, 9.15829328574
C-ED/507;codvia 9311 mm3 monten| (z.d. 1);AREE PUBBLICHE - Giornali e riviste;;;;CODVIA 9311 mm3 monten|;rivendita in stazione metrop.;Si;;;;
C-ED/510;Piazza FRATTINI PIETRO N. 4 ang. via d'alviano| (z.d. 6);AREE PUBBLICHE - Giornali e riviste;Piazza FRATTINI PIETRO;4;5389;ang. via d'alviano|;edicola su suolo pubblico;Si;6;9.14303886844;45.4524300924;45.4524300924, 9.14303886844
C-ED/511;Piazza OSPEDALE MAGGIORE ang. v.le ca' granda| (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Piazza OSPEDALE MAGGIORE;;1523;ang. v.le Ca' Granda|;edicola su suolo pubblico;Si;;;;
C-ED/513;PIAZZA LEGA LOMBARDA N. 5 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;PIAZZA LEGA LOMBARDA;5;7084;;edicola su suolo pubblico;Si;1;9.18021266831;45.4780414848;45.4780414848, 9.18021266831
C-ED/515;Foro BUONAPARTE fr. civ. 18 angolo via arco (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Foro BUONAPARTE;;711;fr. civ. 18 angolo via Arco;edicola su suolo pubblico;Si;;;;
C-ED/519;Piazza LIMA num.000 ang. via ozanam| (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Piazza LIMA;;2135;NUM.000 ang. via ozanam|;edicola su suolo pubblico;Si;;;;
C-ED/520;Piazza DUOMO (DEL) N. 21 portici sett.li lato sinistro galleria vittorio emanuele (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Piazza DUOMO (DEL);21;1;portici sett.li lato sinistro galleria vittorio emanuele;edicola su suolo pubblico;Si;1;9.1895970373;45.46478924;45.46478924, 9.1895970373
C-ED/522;largo marco biagi 1c01 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;;;;largo Marco Biagi 1C01;edicola su suolo pubblico;Si;;;;
C-ED/99;Via CASTELVETRO LODOVICO N. 13 (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via CASTELVETRO LODOVICO;13;7195;;rivendita in negozio;Si;8;9.16453935362094;45.484975460811;45.484975460811, 9.16453935362094
C-ED/104;Piazzale CORVETTO LUIGI EMANUELE N. 7 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Piazzale CORVETTO LUIGI EMANUELE;7;4174;;rivendita in negozio;Si;4;9.22494290046;45.4399055141;45.4399055141, 9.22494290046
C-ED/637;Via PROCACCINI GIULIO CESARE N. 61 ang. p.zza gramsci| (z.d. 8);AREE PUBBLICHE - Giornali e riviste;Via PROCACCINI GIULIO CESARE;61;7204;ang. p.zza gramsci|;edicola su suolo pubblico;Si;8;9.16760649332;45.4815154778;45.4815154778, 9.16760649332
C-ED/638;Viale LOMBARDIA N. 1 ang. piazzale piola (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Viale LOMBARDIA;1;2400;ang. Piazzale Piola;edicola su suolo pubblico;Si;3;9.22340747454;45.4810855654;45.4810855654, 9.22340747454
C-ED/639;PIAZZA MELOZZO DA FORLI' fr. civ. 11 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;PIAZZA MELOZZO DA FORLI';;6619;fr. civ. 11;edicola su suolo pubblico;Si;;;;
C-ED/640;Piazza QUATTRO NOVEMBRE fr.civ. 3| (z.d. 2);AREE PUBBLICHE - Giornali e riviste;Piazza QUATTRO NOVEMBRE;;1199;fr.civ. 3|;edicola su suolo pubblico;Si;;;;
C-ED/641;Via MASCAGNI PIETRO N. 22 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via MASCAGNI PIETRO;22;3155;;edicola su suolo pubblico;Si;1;9.20399542375;45.4662699721;45.4662699721, 9.20399542375
C-ED/642;Piazza INSUBRIA fr. civ. 24 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Piazza INSUBRIA;;3221;fr. civ. 24;edicola su suolo pubblico;Si;;;;
C-ED/644;largo tortora fr. corso magenta 24 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;;;;largo Tortora fr. Corso Magenta 24;edicola su suolo pubblico;Si;;;;
C-ED/645;Via OGLIO N. 20 (z.d. 4);AREE PUBBLICHE - Giornali e riviste;Via OGLIO;20;4105;;edicola su suolo pubblico;Si;4;9.21740645418;45.4399484356;45.4399484356, 9.21740645418
C-ED/646;Via BASSI PAOLO N. 22 angolo via nava| (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Via BASSI PAOLO;22;1320;angolo via nava|;edicola su suolo pubblico;Si;9;9.18917775724;45.4957193155;45.4957193155, 9.18917775724
C-ED/647;Piazza DUOMO (DEL) portici settentrionali - lato dx galleria vittorio emanuele (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Piazza DUOMO (DEL);;1;Portici Settentrionali - lato dx Galleria Vittorio emanuele;edicola su suolo pubblico;Si;;;;
C-ED/649;Via ROMANO GIULIO N. 31 ang. via crema (z.d. 5);AREE PUBBLICHE - Giornali e riviste;Via ROMANO GIULIO;31;4057;ang. Via Crema;edicola su suolo pubblico;Si;5;9.20240309288;45.4489430665;45.4489430665, 9.20240309288
C-ED/650;Piazza DERGANO num.000| (z.d. 9);AREE PUBBLICHE - Giornali e riviste;Piazza DERGANO;;1500;NUM.000|;edicola su suolo pubblico;Si;;;;
C-ED/651;Via VERDI GIUSEPPE N. 5 (z.d. 1);AREE PUBBLICHE - Giornali e riviste;Via VERDI GIUSEPPE;5;118;;edicola su suolo pubblico;Si;1;9.18859296171;45.4682986558;45.4682986558, 9.18859296171
C-ED/652;Via SARDEGNA N. 59 (z.d. 7);AREE PUBBLICHE - Giornali e riviste;Via SARDEGNA;59;6265;;edicola su suolo pubblico;Si;7;9.15050142974;45.4609674464;45.4609674464, 9.15050142974
C-ED/653;Piazzale UDINE N. 1 fr. civ. 1/3 (z.d. 3);AREE PUBBLICHE - Giornali e riviste;Piazzale UDINE;1;2651;fr. civ. 1/3;edicola su suolo pubblico;Si;3;9.23676774145;45.4906811149;45.4906811149, 9.23676774145
